FUND NAME,FINANCIAL TYPE,INSTRUMENT IDENTIFIER,YEAR,MONTH,PRICE BREAK
Belaware,Equities,A,2023,1,0.0
Magnum,Equities,A,2023,1,0.0
Magnum,Equities,A,2023,2,0.0
Belaware,Equities,A,2023,2,0.0
Belaware,Equities,A,2023,3,0.0
Magnum,Equities,A,2023,3,0.0
Belaware,Equities,A,2023,4,0.0
Magnum,Equities,A,2023,4,0.0
Belaware,Equities,A,2023,5,0.0
Magnum,Equities,A,2023,5,0.0
Belaware,Equities,A,2023,6,0.0
Magnum,Equities,A,2023,6,0.0
Belaware,Equities,A,2023,7,0.0
Magnum,Equities,A,2023,7,0.0
Belaware,Equities,A,2023,8,0.0
Magnum,Equities,A,2023,8,0.0
Belaware,Equities,A,2022,9,0.0
Magnum,Equities,A,2022,9,0.0
Magnum,Equities,A,2022,10,-13.765999999999991
Belaware,Equities,A,2022,10,-13.765999999999991
Belaware,Equities,A,2022,11,0.0
Magnum,Equities,A,2022,11,0.0
Magnum,Equities,A,2022,12,0.0
Belaware,Equities,A,2022,12,0.0
Belaware,Equities,AAL,2023,1,0.0
Belaware,Equities,AAL,2023,2,0.0
Belaware,Equities,AAL,2023,3,0.0
Belaware,Equities,AAL,2023,4,0.0
Belaware,Equities,AAL,2023,5,0.0
Belaware,Equities,AAL,2023,6,0.0
Belaware,Equities,AAL,2023,7,0.0
Belaware,Equities,AAL,2023,8,0.0
Belaware,Equities,AAL,2022,9,0.0
Belaware,Equities,AAL,2022,10,-1.418000000000001
Belaware,Equities,AAL,2022,11,0.0
Belaware,Equities,AAL,2022,12,0.0
Belaware,Equities,AAP,2023,1,0.0
Leeder,Equities,AAP,2023,1,0.0
Gohen,Equities,AAP,2023,1,0.0
Leeder,Equities,AAP,2023,2,0.0
Belaware,Equities,AAP,2023,2,0.0
Gohen,Equities,AAP,2023,2,0.0
Belaware,Equities,AAP,2023,3,0.0
Leeder,Equities,AAP,2023,3,0.0
Gohen,Equities,AAP,2023,3,0.0
Belaware,Equities,AAP,2023,4,0.0
Leeder,Equities,AAP,2023,4,0.0
Gohen,Equities,AAP,2023,4,0.0
Belaware,Equities,AAP,2023,5,0.0
Leeder,Equities,AAP,2023,5,0.0
Gohen,Equities,AAP,2023,5,0.0
Belaware,Equities,AAP,2023,6,0.0
Leeder,Equities,AAP,2023,6,0.0
Gohen,Equities,AAP,2023,6,0.0
Belaware,Equities,AAP,2023,7,0.0
Leeder,Equities,AAP,2023,7,0.0
Gohen,Equities,AAP,2023,7,0.0
Belaware,Equities,AAP,2023,8,0.0
Leeder,Equities,AAP,2023,8,0.0
Gohen,Equities,AAP,2023,8,0.0
Belaware,Equities,AAP,2022,9,0.0
Leeder,Equities,AAP,2022,9,0.0
Gohen,Equities,AAP,2022,9,0.0
Leeder,Equities,AAP,2022,10,-18.49599999999998
Belaware,Equities,AAP,2022,10,-18.49599999999998
Gohen,Equities,AAP,2022,10,-18.49599999999998
Belaware,Equities,AAP,2022,11,0.0
Leeder,Equities,AAP,2022,11,0.0
Gohen,Equities,AAP,2022,11,0.0
Leeder,Equities,AAP,2022,12,0.0
Belaware,Equities,AAP,2022,12,0.0
Gohen,Equities,AAP,2022,12,0.0
Wallington,Equities,ABBV,2023,1,0.0
Virtous,Equities,ABBV,2023,1,0.0
Wallington,Equities,ABBV,2023,2,0.0
Virtous,Equities,ABBV,2023,2,0.0
Wallington,Equities,ABBV,2023,3,0.0
Virtous,Equities,ABBV,2023,3,0.0
Wallington,Equities,ABBV,2023,4,0.0
Virtous,Equities,ABBV,2023,4,0.0
Wallington,Equities,ABBV,2023,5,0.0
Virtous,Equities,ABBV,2023,5,0.0
Wallington,Equities,ABBV,2023,6,0.0
Virtous,Equities,ABBV,2023,6,0.0
Wallington,Equities,ABBV,2023,7,0.0
Virtous,Equities,ABBV,2023,7,0.0
Wallington,Equities,ABBV,2023,8,0.0
Virtous,Equities,ABBV,2023,8,0.0
Wallington,Equities,ABBV,2022,9,0.0
Virtous,Equities,ABBV,2022,9,0.0
Wallington,Equities,ABBV,2022,10,-14.211999999999989
